N:K9.K972.AT9.Q742 AJT8.43.QJ864.85 653.QJ86.52.AJT6 Q742.AT5.K73.K93
W:Q65.AQJ5.A3.KJT4 873.983.KJT84.96 KJ9.KT62.92.Q873 AT42.74.Q765.A52
N:AJ5.AKT.Q754.K87 Q97.2.AT932.AQ64 KT8632.J6.K.JT92 4.Q987543.J86.53
E:AQ82.A.AKJ52.T72 J3.KT76.QT3.KQ98 KT765.8.8764.A43 94.QJ95432.9.J65
S:AKJ9.73.AJT3.T75 QT6.JT8.64.AJ832 852.AQ652.K87.Q9 743.K94.Q952.K64
W:J3.AQJ7.KQT.Q752 AKQ965.K853.3.J4 872.2.AJ8654.AT8 T4.T964.972.K963
N:AJ53.9532.A3.A63 942.AQJ7.K62.Q54 KQT87.KT.QT94.82 6.864.J875.KJT97
E:QJ9.J3.KQ9543.AT A8754.T842.A.K53 K3.KQ7.J876.9862 T62.A965.T2.QJ74
S:KQ8.K74.A642.KQ4 AT42.AQJ5.83.T83 95.8632.JT.AJ765 J763.T9.KQ975.92
W:5.T74.AKQT874.KJ K92.QJ965.6.A875 QJ643.K.932.Q632 AT87.A832.J5.T94
N:KQ5.KQ5.QT3.AK85 AT832.62.A97.T96 6.AT943.J5.Q7432 J974.J87.K8642.J
E:AK8.A93.875.KQ84 .KQJT754.A.J9752 T973.86.KJT43.AT QJ6542.2.Q962.63
S:84.T64.AQT75.KQJ J732.AK3.K8.6532 T9.Q9852.J643.A9 AKQ65.J7.92.T874
W:KJ73.KJ.KQJ982.T T95.AQ932..AK854 AQ82.T8654..QJ96 64.7.AT76543.732
N:K62.95.J854.AKJ5 .K63.AKQ972.9763 AJ3.JT84.T63.T42 QT98754.AQ72..Q8
E:T7.AJ9.Q43.AQT84 KJ843.KT5.AK9.K5 A6.Q86.T876.7632 Q952.7432.J52.J9
S:AJ6.K6.A52.A9832 Q732.T7.63.K7654 T9.Q9432.QT987.Q K854.AJ85.KJ4.JT
W:J542.Q9.AKT85.A8 Q863.862.QJ2.QT2 AK.T43.764.K9543 T97.AKJ75.93.J76
N:K85.AQJ5.Q32.JT8 A976.9632.K9.A95 42.K874.JT65.732 QJT3.T.A874.KQ64
E:K43.K852.K5.AJ43 87.QJT.JT8.KQ972 A2.7643.96432.T5 QJT965.A9.AQ7.86
S:AQ5.654.K764.KJ2 J963.T73.QT85.76 T82.Q92.J932.A95 K74.AKJ8.A.QT843
W:AJ74.QJT5.K763.A T53.8432.Q92.T76 KQ62.A7.AT5.J942 98.K96.J84.KQ853
N:AKQ7.A2.KT5.KQT8 8632.Q974.AQ93.A J95.KJ863.642.96 T4.T5.J87.J75432
E:KQ76.A4.KQJ2.A97 J43.KQ976.AT5.T4 AT92.J3.98.K8532 85.T852.7643.QJ6
S:AQJ3.762.KQ6.AKT K962.JT9.A32.J82 T4.AQ83.J984.Q53 875.K54.T75.9764
W:A5.86.AT852.AT76 QJ.T7432.K976.83 KT9874.AKQJ5..42 632.9.QJ43.KQJ95
N:AT.AK75.A.Q98762 J8764.QT93.T74.T 9.J64.QJ9852.A54 KQ532.82.K63.KJ3
E:KJ97.AQ7.7.K8432 A652.9.J9532.AT9 4.KT63.AKQ84.QJ6 QT83.J8542.T6.75
S:AQ4.QJ.543.KQJ86 95.K76.AKQ98.754 K3.T8542.J6.AT93 JT8762.A93.T72.2
W:AJT7.Q76.Q4.AQ62 2.AJ93.8752.K985 K8.KT854.A96.T43 Q96543.2.KJT3.J7
N:QJT5.A52.QJ74.A3 743.3.A982.KT752 K96.KQT97.KT5.86 A82.J864.63.QJ94
E:AQ83.Q83.A86.J97 954.J962.J72.A64 J76.74.KQ43.K852 KT2.AKT5.T95.QT3
S:AQ75.753.Q2.AKT7 643.QT9.K76.Q954 KJT2.A864.J954.J 98.KJ2.AT83.8632
W:KJ98.72.K5.KQ754 T3.AKQ654.987.A8 Q764.J.AQ32.T932 A52.T983.JT64.J6
N:QJ4.QT6.Q82.AKJ4 KT6.72.A9.Q97653 A987.J9543.T43.T 532.AK8.KJ765.82
E:J4.T42.AKJ9.KQJT KT873.A5.Q7642.6 A9.K98.T85.A9832 Q652.QJ763.3.754
S:A4.T6.QT9876.AK9 J7532.J9543..Q75 QT986.AQ.A3.T842 K.K872.KJ542.J63
W:832.AKJ4.K.AJ652 AK7.Q72.A8732.K4 QJ9654.653.T9.T9 T.T98.QJ654.Q873
N:AKT9.A72.AQ85.K6 J43.KQJT3.J92.75 8.9865.T764.AQJT Q7652.4.K3.98432
E:J42.KQT.AKQ8.832 K9.942.J6532.K76 QT83.J5.97.QJT94 A765.A8763.T4.A5
S:J3.J6.KQJT5.AQJT K8542.AK73.932.2 T9.82.A764.98643 AQ76.QT954.8.K75
W:8.J76.A95.AQJ832 T54.A9852.872.76 AKQJ9.K3.QJT3.K4 7632.QT4.K64.T95
N:AQ95.T3.A7.AQT54 86.K97.KT85.J762 KT.AQ864.Q93.983 J7432.J52.J642.K
E:KJ.QJ9.KT82.AKQ8 9874.T832.975.T5 QT32.K74.AQ4.J63 A65.A65.J63.9742
S:A4.976.KQ72.KQ63 KQJ7.A842.J6.842 532.KQ.8543.T975 T986.JT53.AT9.AJ
W:KT63.K96.AKT72.5 AQ2.3.J9543.AQJ7 9875.AQT2.6.K942 J4.J8754.Q8.T863
N:KQ7.AJ93.J5.QJ85 983.K82.AKT6.KT7 AJ54.765.843.962 T62.QT4.Q972.A43
E:KJ4.K6.AKT65.872 A3.QT75.J82.J943 QT972.932.974.K5 865.AJ84.Q3.AQT6
S:KT96.K82.A63.K72 Q872.97654.QT.Q5 A43.AQJ3.874.JT8 J5.T.KJ952.A9643
W:QT5.AQJT.AK2.Q62 A764.75.T854.KJ3 83.9632.J.AT9754 KJ92.K84.Q9763.8
N:QJ.A42.QT654.AQ8 T752.653.KJ9.K72 A8.Q7.A82.JT6543 K9643.KJT98.73.9
E:AT9.T542.KQJ95.K Q8.KQJ97.8763.73 K643.8.AT.AQJ964 J752.A63.42.T852
S:AK6.K4.A872.A962 T872.A932.KJT.KJ Q3.T87.643.Q7543 J954.QJ65.Q95.T8
W:A.KJT8.JT984.KQ5 9843.9762.Q653.T QJT752.Q5.K72.94 K6.A43.A.AJ87632
N:A74.K.KQ654.T976 5.QT97654.AT7.A5 QT32.82.J3.QJ843 KJ986.AJ3.982.K2
E:J75.KJ96.Q65.AKT 983.A4.JT9742.53 AQ.QT32.AK3.Q642 KT642.875.8.J987
S:A6.Q8.KQT764.AK9 KT982.J96.8.Q532 Q74.5432.953.876 J53.AKT7.AJ2.JT4
W:K2.J86.AKJ732.T3 QJ93.A73.Q84.K75 T4.T542.T6.AQJ86 A8765.KQ9.95.942
N:AJ92.AT2.Q64.A96 764.Q76.KT85.432 KT.KJ943.J7.KJ87 Q853.85.A932.QT5
E:T.K865.KQ83.AT76 532.Q742.J752.93 KQ94.J93.AT64.J4 AJ876.AT.9.KQ852
S:AT2.Q4.AK652.JT2 KJ65.K762.T97.97 Q874.AJT98.84.64 93.53.QJ3.AKQ853
W:AQ9.T872.AQT43.8 JT.Q9.KJ76.KT953 K76.KJ654.2.AQJ7 85432.A3.985.642
N:T3.K72.AQJ.AQT98 QJ95.AT65.8632.6 AK872.QJ983.T9.7 64.4.K754.KJ5432
E:AQ64.5.A5.AKQJT8 KT9853.JT3.QT8.7 2.AQ86.9643.6543 J7.K9742.KJ72.92
S:Q9.AK98.A54.K532 KJ72.Q2.J98.AT86 83.J73.KT7632.J7 AT654.T654.Q.Q94
W:AQT9.Q97.KJ974.5 K762.843.8532.62 .AKJT.Q6.KQJT873 J8543.652.AT.A94
